843656	AT1G73220
844274	AT1G79360
838763	AT1G03410
838209	AT1G16390
841132	AT1G47290
841593	AT1G51680
842814	AT1G65060
844279	AT1G79410
841160	AT1G47510
837069	AT1G05630
838644	AT1G20560
842901	AT1G65890
839932	AT1G30520
841977	AT1G55320
842205	AT1G58360
844074	AT1G77380
841013	AT1G44100
837536	AT1G10010
837917	AT1G13560
841665	AT1G52340
838224	AT1G16540
843028	AT1G67080
842354	AT1G60600
840064	AT1G31770
843527	AT1G71960
841395	AT1G49720
841095	AT1G45249
842978	AT1G66600
841625	AT1G51965
837881	AT1G13210
839670	AT1G27770
837324	AT1G08065
837326	AT1G08080
840069	AT1G31812
840521	AT1G36160
840522	AT1G36180
837158	AT1G06460
837379	AT1G08570
837610	AT1G10670
842375	AT1G60810
837466	AT1G09430
842536	AT1G62380
842596	AT1G62940
841900	AT1G54580
841905	AT1G54630
844035	AT1G76990
843236	AT1G69040
837798	AT1G12420
842598	AT1G62960
837082	AT1G01480
841347	AT1G49240
837140	AT1G06290
837141	AT1G06310
838176	AT1G16060
839281	AT1G01750
844047	AT1G77120
839368	AT1G03930
837568	AT1G10290
840250	AT1G33560
837117	AT1G06080
837725	AT1G11790
837345	AT1G08250
837838	AT1G12820
840068	AT1G31810
843257	AT1G69260
837934	AT1G13740
844265	AT1G79250
842378	AT1G60860
837629	AT1G10870
841187	AT1G47760
838818	AT1G22130
843497	AT1G71692
842846	AT1G65360
837142	AT1G01530
842838	AT1G65300
842298	AT1G60040
842274	AT1G59810
842383	AT1G60920
842380	AT1G60880
839743	AT1G28450
839745	AT1G28460
5007741	AT1G29962
838457	AT1G18750
844133	AT1G77980
844130	AT1G77950
841917	AT1G54760
840050	AT1G31630
838865	AT1G22590
840051	AT1G31640
843289	AT1G69540
841112	AT1G46408
841262	AT1G48410
840016	AT1G31280
840017	AT1G31290
843276	AT1G69440
843203	AT1G68725
841979	AT1G55330
839723	AT1G28290
840412	AT1G35230
838297	AT1G17260
842037	AT1G55870
837893	AT1G13330
839506	AT1G03430
840293	AT1G33960
837400	AT1G08780
840011	AT1G31230
838013	AT1G14510
842275	AT1G59820
843565	AT1G72330
841442	AT1G50200
837374	AT1G08520
839065	AT1G24490
843831	AT1G74920
838991	AT1G23800
841020	AT1G44170
844282	AT1G79440
841849	AT1G54100
842532	AT1G62340
5007658	AT1G02145
844283	AT1G79450
837363	AT1G08430
843703	AT1G73680
839561	AT1G02170
837418	AT1G08980
842888	AT1G65770
841301	AT1G48790
837603	AT1G10600
842786	AT1G64780
843945	AT1G76130
843319	AT1G69830
839401	AT1G01510
842568	AT1G62700
843137	AT1G68090
840476	AT1G35720
839488	AT1G04580
843395	AT1G70580
837888	AT1G13280
840127	AT1G32350
843244	AT1G69120
837740	AT1G11910
844213	AT1G78770
837271	AT1G07570
837999	AT1G14370
844281	AT1G79430
839660	AT1G27680
842789	AT1G64810
842514	AT1G62180
840382	AT1G34780
843150	AT1G68210
837066	AT1G05610
838580	AT1G19920
839636	AT1G27450
844345	AT1G80050
837304	AT1G07890
842986	AT1G66680
841637	AT1G52080
837151	AT1G06400
839767	AT1G28670
843917	AT1G75840
843839	AT1G75010
838957	AT1G23490
842268	AT1G59750
840331	AT1G34310
840316	AT1G34170
840450	AT1G35540
840447	AT1G35520
844120	AT1G77850
838505	AT1G19220
840413	AT1G35240
840344	AT1G34410
840341	AT1G34390
840994	AT1G43950
839913	AT1G30330
843385	AT1G70490
837606	AT1G10630
839230	AT1G02440
839242	AT1G02430
843166	AT1G68370
837098	AT1G05880
837099	AT1G05890
3767620	AT1G63760
842854	AT1G65430
839306	AT1G01950
837799	AT1G12430
839024	AT1G24120
842292	AT1G59980
838425	AT1G18450
843728	AT1G73910
842338	AT1G60430
843096	AT1G67710
843828	AT1G74890
842288	AT1G59940
837587	AT1G10470
838487	AT1G19050
839569	AT1G01020
842873	AT1G65620
839103	AT1G25220
841844	AT1G54060
838223	AT1G16530
842579	AT1G62800
844134	AT1G77990
838917	AT1G23090
843058	AT1G67370
840076	AT1G31860
839550	AT1G01070
7922546	AT1G01073
839463	AT1G01080
839410	AT1G01100
7922461	AT1G01115
839359	AT1G01130
839294	AT1G01150
839263	AT1G01170
839239	AT1G01180
839481	AT1G01210
839358	AT1G01225
839331	AT1G01230
839274	AT1G01240
839322	AT1G01250
839545	AT1G01260
3766639	AT1G01270
839375	AT1G01300
6240609	AT1G01305
839333	AT1G01310
839293	AT1G01320
838964	AT1G01350
6241268	AT1G01355
837790	AT1G01390
837049	AT1G01400
837155	AT1G01440
5007657	AT1G01448
837060	AT1G01450
6240388	AT1G01453
6240818	AT1G01471
839440	AT1G01490
839430	AT1G01500
839337	AT1G01520
839533	AT1G01540
837183	AT1G01570
839231	AT1G01630
839534	AT1G01640
839461	AT1G01660
839365	AT1G01670
6241450	AT1G01695
839254	AT1G01710
839271	AT1G01725
